0,1,2,3,4,5,6,7,8,9,10
candles,canned fish,oil,,,,,,,,
root vegetables,soda,specialty bar,other vegetables,frozen vegetables,,,,,,
other vegetables,zwieback,oil,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
hair spray,chocolate,rolls/buns,,,,,,,,
whipped/sour cream,yogurt,processed cheese,rolls/buns,,,,,,,
soda,red/blush wine,,,,,,,,,
yogurt,bottled beer,,,,,,,,,
whole milk,whole milk,,,,,,,,,
skin care,processed cheese,,,,,,,,,
soda,shopping bags,,,,,,,,,
UHT-milk,beverages,,,,,,,,,
waffles,fruit/vegetable juice,,,,,,,,,
root vegetables,grapes,,,,,,,,,
cake bar,long life bakery product,shopping bags,,,,,,,,
chewing gum,yogurt,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
yogurt,photo/film,,,,,,,,,
brown bread,margarine,,,,,,,,,
ham,newspapers,,,,,,,,,
berries,other vegetables,,,,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
ham,instant coffee,margarine,beef,long life bakery product,whole milk,house keeping products,semi-finished bread,,,
sausage,pip fruit,bottled water,,,,,,,,
liquor,hard cheese,,,,,,,,,
whipped/sour cream,shopping bags,soda,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
berries,sausage,tropical fruit,butter,,,,,,,
curd,brown bread,,,,,,,,,
pip fruit,chocolate marshmallow,,,,,,,,,
frankfurter,curd,,,,,,,,,
specialty chocolate,misc. beverages,,,,,,,,,
seasonal products,bottled beer,,,,,,,,,
beef,other vegetables,,,,,,,,,
whole milk,frozen vegetables,newspapers,,,,,,,,
hamburger meat,fruit/vegetable juice,,,,,,,,,
butter,hygiene articles,,,,,,,,,
root vegetables,white bread,sliced cheese,,,,,,,,
other vegetables,photo/film,newspapers,,,,,,,,
pet care,mustard,,,,,,,,,
root vegetables,grapes,whole milk,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
pastry,chocolate,,,,,,,,,
chicken,butter,,,,,,,,,
tropical fruit,soda,frozen meals,,,,,,,,
chewing gum,misc. beverages,,,,,,,,,
coffee,whole milk,canned fruit,,,,,,,,
napkins,bottled beer,,,,,,,,,
beef,butter,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
bottled water,bottled water,,,,,,,,,
pastry,shopping bags,,,,,,,,,
root vegetables,soda,,,,,,,,,
yogurt,whole milk,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
soda,rolls/buns,,,,,,,,,
liquor (appetizer),soda,,,,,,,,,
chocolate,frozen meals,,,,,,,,,
whipped/sour cream,frozen vegetables,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
canned beer,tropical fruit,fruit/vegetable juice,shopping bags,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
herbs,whole milk,,,,,,,,,
sausage,house keeping products,,,,,,,,,
beef,dessert,,,,,,,,,
bottled water,chocolate,jam,,,,,,,,
onions,specialty cheese,canned fish,,,,,,,,
hamburger meat,soda,,,,,,,,,
frankfurter,frozen meals,,,,,,,,,
cocoa drinks,bottled water,sweet spreads,,,,,,,,
dessert,whole milk,,,,,,,,,
meat,other vegetables,,,,,,,,,
salty snack,whole milk,,,,,,,,,
sausage,bottled beer,misc. beverages,,,,,,,,
soda,detergent,,,,,,,,,
frankfurter,soups,,,,,,,,,
whole milk,hard cheese,soda,,,,,,,,
ice cream,whole milk,,,,,,,,,
UHT-milk,herbs,newspapers,,,,,,,,
newspapers,cat food,,,,,,,,,
